city,zone,year,days,suitable_days,suitability_rate,rain_days,hot_days,freezing_days,windy_days
Guarda,GUARDA,2018,365,96,26.3,110,9,48,145
Guarda,GUARDA,2019,365,67,18.4,95,8,36,176
Guarda,GUARDA,2020,366,68,18.6,99,21,28,156
Guarda,GUARDA,2021,365,74,20.3,91,12,36,153
Guarda,GUARDA,2022,365,69,18.9,108,38,35,161
Guarda,GUARDA,2023,365,86,23.6,99,14,58,130
Guarda,GUARDA,2024,366,86,23.5,108,20,32,135
Guarda,GUARDA,2025,365,77,21.1,112,37,36,149
Vila Real,VILA_REAL,2018,365,69,18.9,128,28,13,168
Vila Real,VILA_REAL,2019,365,77,21.1,118,15,5,192
Vila Real,VILA_REAL,2020,366,60,16.4,131,46,5,160
Vila Real,VILA_REAL,2021,365,82,22.5,112,19,12,168
Vila Real,VILA_REAL,2022,365,57,15.6,125,55,6,178
Vila Real,VILA_REAL,2023,365,87,23.8,124,22,18,128
Vila Real,VILA_REAL,2024,366,98,26.8,132,29,2,115
Vila Real,VILA_REAL,2025,365,78,21.4,128,56,3,117
