city,zone,season,month,month_name,days,suitable_days,suitability_rate,avg_max_temp_c,avg_min_temp_c,avg_sunshine_hours,rain_days,hot_days,freezing_days,windy_days,avg_precipitation_mm
Guarda,GUARDA,Winter,1,January,248,0,0.0,7.643145161290323,0.5217741935483872,6.043363575268817,73,0,124,95,2.649193548387097
Guarda,GUARDA,Winter,2,February,226,0,0.0,9.932743362831859,1.8871681415929205,7.336734660766962,55,0,56,85,1.820353982300885
Guarda,GUARDA,Spring,3,March,248,6,2.4,11.070564516129032,2.7153225806451613,8.183993089157706,102,0,38,128,3.54758064516129
Guarda,GUARDA,Spring,4,April,240,40,16.7,13.971666666666666,4.897916666666666,9.694779004629629,100,0,10,103,2.808333333333333
Guarda,GUARDA,Spring,5,May,248,94,37.9,18.586693548387096,7.850806451612903,11.599141913082438,57,0,0,87,1.259274193548387
Guarda,GUARDA,Summer,6,June,240,87,36.2,22.079166666666666,11.178333333333335,12.363468564814815,67,19,0,94,1.6533333333333333
Guarda,GUARDA,Summer,7,July,248,94,37.9,27.236693548387095,14.074193548387097,13.166839269713261,14,67,0,97,0.15524193548387097
Guarda,GUARDA,Summer,8,August,248,95,38.3,27.89233870967742,14.55241935483871,12.48084173387097,7,69,0,112,0.1282258064516129
Guarda,GUARDA,Autumn,9,September,240,123,51.2,21.926666666666666,11.330833333333334,10.264980833333334,56,4,0,79,1.5591666666666666
Guarda,GUARDA,Autumn,10,October,248,84,33.9,17.19314516129032,8.788306451612904,7.742205969982079,92,0,1,101,3.95
Guarda,GUARDA,Autumn,11,November,240,0,0.0,10.795,4.487916666666666,6.088904606481481,107,0,17,119,3.6708333333333334
Guarda,GUARDA,Winter,12,December,248,0,0.0,8.491129032258065,2.231048387096774,5.463129435483871,92,0,63,105,3.3649193548387095
Vila Real,VILA_REAL,Winter,1,January,248,0,0.0,10.529838709677419,3.452016129032258,5.782258075716846,91,0,32,93,5.297177419354839
Vila Real,VILA_REAL,Winter,2,February,226,5,2.2,12.810619469026548,4.748230088495575,6.871369604228122,73,0,17,81,3.3787610619469026
Vila Real,VILA_REAL,Spring,3,March,248,25,10.1,14.144354838709678,5.604435483870968,7.859024943996416,115,0,4,140,5.429032258064517
Vila Real,VILA_REAL,Spring,4,April,240,67,27.9,17.031666666666666,7.747083333333333,9.495263576388888,107,0,0,114,4.276666666666667
Vila Real,VILA_REAL,Spring,5,May,248,90,36.3,20.97782258064516,10.609677419354838,11.392490367383513,77,7,0,114,2.0387096774193547
Vila Real,VILA_REAL,Summer,6,June,240,78,32.5,23.825,13.661666666666667,12.098925925925926,81,34,0,96,2.1666666666666665
Vila Real,VILA_REAL,Summer,7,July,248,69,27.8,28.41532258064516,16.393548387096775,13.005955141129032,24,93,0,109,0.3387096774193548
Vila Real,VILA_REAL,Summer,8,August,248,64,25.8,29.476209677419355,16.89475806451613,12.255039504928316,19,111,0,97,0.4068548387096774
Vila Real,VILA_REAL,Autumn,9,September,240,106,44.2,24.471666666666668,14.067083333333333,10.173338587962963,61,24,0,87,2.2862500000000003
Vila Real,VILA_REAL,Autumn,10,October,248,95,38.3,19.63951612903226,11.53225806451613,7.355019478046595,105,1,0,100,6.125806451612903
Vila Real,VILA_REAL,Autumn,11,November,240,9,3.8,13.7325,7.4825,5.753090937500001,123,0,0,103,7.008333333333334
Vila Real,VILA_REAL,Winter,12,December,248,0,0.0,11.136290322580646,5.243951612903226,4.935780633960573,122,0,11,92,6.318145161290323
