time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunshine_duration,relative_humidity_2m_mean,cloudcover_mean,sunrise,sunset,date,zone,latitude,longitude
2018-01-01,7.500,1.000,4.400,0.000,19.400,43.200,2.690,1806.040,91,72,2018-01-01T07:52,2018-01-01T17:12,2018-01-01,GUARDA,40.537,-7.268
2018-01-02,9.100,3.800,7.200,0.000,19.100,38.900,2.590,1924.850,93,94,2018-01-02T07:52,2018-01-02T17:13,2018-01-02,GUARDA,40.537,-7.268
2018-01-03,10.800,8.400,9.100,0.400,19.600,36.400,2.410,523.850,96,99,2018-01-03T07:52,2018-01-03T17:14,2018-01-03,GUARDA,40.537,-7.268
2018-01-04,9.700,5.600,8.000,0.200,12.800,27.000,3.550,13570.320,94,91,2018-01-04T07:52,2018-01-04T17:15,2018-01-04,GUARDA,40.537,-7.268
2018-01-05,6.200,1.200,4.600,15.400,28.700,51.500,1.140,0.000,94,99,2018-01-05T07:52,2018-01-05T17:16,2018-01-05,GUARDA,40.537,-7.268
2018-01-06,3.400,-1.100,0.800,0.000,23.200,44.600,8.800,29290.790,77,78,2018-01-06T07:52,2018-01-06T17:17,2018-01-06,GUARDA,40.537,-7.268
2018-01-07,2.900,-1.600,0.500,4.500,22.200,42.100,4.460,10800.000,83,99,2018-01-07T07:52,2018-01-07T17:17,2018-01-07,GUARDA,40.537,-7.268
2018-01-08,4.300,-4.900,0.000,0.000,15.600,33.100,9.660,30304.920,84,21,2018-01-08T07:52,2018-01-08T17:18,2018-01-08,GUARDA,40.537,-7.268
2018-01-09,2.400,-1.000,0.600,8.400,31.600,61.200,1.020,0.000,95,96,2018-01-09T07:52,2018-01-09T17:19,2018-01-09,GUARDA,40.537,-7.268
2018-01-10,5.500,1.700,2.800,4.400,24.300,63.400,3.950,13767.240,94,72,2018-01-10T07:51,2018-01-10T17:20,2018-01-10,GUARDA,40.537,-7.268
2018-01-11,5.000,0.200,2.600,1.500,26.000,52.200,6.370,26160.120,86,61,2018-01-11T07:51,2018-01-11T17:22,2018-01-11,GUARDA,40.537,-7.268
2018-01-12,4.500,-2.700,1.000,0.000,15.900,31.000,6.450,21549.650,87,79,2018-01-12T07:51,2018-01-12T17:23,2018-01-12,GUARDA,40.537,-7.268
2018-01-13,5.000,0.000,1.800,8.000,19.500,37.800,3.650,11050.550,92,82,2018-01-13T07:51,2018-01-13T17:24,2018-01-13,GUARDA,40.537,-7.268
2018-01-14,3.800,-1.400,1.000,0.000,12.500,25.600,5.520,18202.180,86,74,2018-01-14T07:50,2018-01-14T17:25,2018-01-14,GUARDA,40.537,-7.268
2018-01-15,5.400,-2.600,1.500,0.000,11.100,23.800,8.760,30935.990,76,54,2018-01-15T07:50,2018-01-15T17:26,2018-01-15,GUARDA,40.537,-7.268
2018-01-16,9.200,2.400,6.600,0.100,19.600,37.800,5.360,22902.770,96,93,2018-01-16T07:49,2018-01-16T17:27,2018-01-16,GUARDA,40.537,-7.268
2018-01-17,8.700,2.200,5.500,0.000,24.600,47.200,10.110,28725.150,85,38,2018-01-17T07:49,2018-01-17T17:28,2018-01-17,GUARDA,40.537,-7.268
2018-01-18,11.200,-0.100,4.900,0.000,12.500,22.000,10.470,31253.610,75,11,2018-01-18T07:48,2018-01-18T17:29,2018-01-18,GUARDA,40.537,-7.268
2018-01-19,9.800,1.500,4.600,0.000,20.200,44.600,10.020,29798.080,87,31,2018-01-19T07:48,2018-01-19T17:31,2018-01-19,GUARDA,40.537,-7.268
2018-01-20,8.100,3.000,5.600,0.000,18.100,34.600,9.550,31328.430,79,73,2018-01-20T07:47,2018-01-20T17:32,2018-01-20,GUARDA,40.537,-7.268
2018-01-21,7.900,5.500,6.500,0.000,16.700,32.000,5.790,23510.790,96,96,2018-01-21T07:47,2018-01-21T17:33,2018-01-21,GUARDA,40.537,-7.268
2018-01-22,8.700,3.600,5.300,0.000,15.200,30.200,7.640,25607.530,93,56,2018-01-22T07:46,2018-01-22T17:34,2018-01-22,GUARDA,40.537,-7.268
2018-01-23,8.600,-0.200,3.700,0.000,12.800,22.000,9.630,31269.410,91,52,2018-01-23T07:45,2018-01-23T17:35,2018-01-23,GUARDA,40.537,-7.268
2018-01-24,9.700,-0.000,4.800,0.000,10.100,17.300,10.470,29870.480,81,61,2018-01-24T07:45,2018-01-24T17:36,2018-01-24,GUARDA,40.537,-7.268
2018-01-25,5.600,0.100,3.100,10.600,24.400,49.700,4.230,9447.300,95,82,2018-01-25T07:44,2018-01-25T17:38,2018-01-25,GUARDA,40.537,-7.268
2018-01-26,5.600,-0.200,1.900,0.000,26.800,51.500,9.260,30763.930,83,49,2018-01-26T07:43,2018-01-26T17:39,2018-01-26,GUARDA,40.537,-7.268
2018-01-27,5.600,-0.700,2.100,0.000,25.300,49.000,9.160,29821.740,80,33,2018-01-27T07:42,2018-01-27T17:40,2018-01-27,GUARDA,40.537,-7.268
2018-01-28,8.700,-2.500,2.400,0.000,21.900,42.100,11.610,31955.860,75,4,2018-01-28T07:42,2018-01-28T17:41,2018-01-28,GUARDA,40.537,-7.268
2018-01-29,10.600,-0.400,4.100,0.000,13.800,27.700,11.790,32250.070,81,0,2018-01-29T07:41,2018-01-29T17:42,2018-01-29,GUARDA,40.537,-7.268
2018-01-30,9.600,-0.900,3.300,0.000,11.200,22.300,12.180,32415.080,82,0,2018-01-30T07:40,2018-01-30T17:44,2018-01-30,GUARDA,40.537,-7.268
2018-01-31,10.900,-1.500,5.000,0.000,10.000,19.800,12.400,32675.390,68,8,2018-01-31T07:39,2018-01-31T17:45,2018-01-31,GUARDA,40.537,-7.268
2018-02-01,5.800,-0.900,2.600,0.100,29.100,56.200,8.310,27202.840,79,51,2018-02-01T07:38,2018-02-01T17:46,2018-02-01,GUARDA,40.537,-7.268
2018-02-02,4.400,-2.600,0.200,0.000,20.900,41.400,11.920,32487.290,70,11,2018-02-02T07:37,2018-02-02T17:47,2018-02-02,GUARDA,40.537,-7.268
2018-02-03,4.700,-3.100,0.700,0.600,21.400,37.800,7.240,21281.640,85,64,2018-02-03T07:36,2018-02-03T17:48,2018-02-03,GUARDA,40.537,-7.268
2018-02-04,3.400,-2.300,0.500,0.000,23.900,46.800,8.930,30429.280,79,53,2018-02-04T07:35,2018-02-04T17:50,2018-02-04,GUARDA,40.537,-7.268
2018-02-05,3.900,-3.100,-0.700,0.300,26.500,56.900,11.220,33366.880,78,21,2018-02-05T07:34,2018-02-05T17:51,2018-02-05,GUARDA,40.537,-7.268
2018-02-06,2.300,-5.200,-1.900,0.000,23.600,45.400,12.030,31773.790,72,42,2018-02-06T07:33,2018-02-06T17:52,2018-02-06,GUARDA,40.537,-7.268
2018-02-07,2.700,-4.700,-1.700,0.000,22.200,42.800,9.340,22896.990,74,30,2018-02-07T07:32,2018-02-07T17:53,2018-02-07,GUARDA,40.537,-7.268
2018-02-08,2.100,-5.600,-2.100,0.000,14.500,29.900,13.470,34033.010,69,4,2018-02-08T07:31,2018-02-08T17:55,2018-02-08,GUARDA,40.537,-7.268
2018-02-09,5.800,-0.800,1.600,2.600,20.800,38.900,5.100,5852.170,83,84,2018-02-09T07:29,2018-02-09T17:56,2018-02-09,GUARDA,40.537,-7.268
2018-02-10,5.500,-3.200,1.000,0.000,21.000,41.000,12.360,32400.000,82,38,2018-02-10T07:28,2018-02-10T17:57,2018-02-10,GUARDA,40.537,-7.268
2018-02-11,8.300,2.700,5.600,0.200,26.000,50.800,6.210,14037.570,95,96,2018-02-11T07:27,2018-02-11T17:58,2018-02-11,GUARDA,40.537,-7.268
2018-02-12,5.500,-1.600,2.200,0.100,17.400,34.600,13.540,32898.200,73,42,2018-02-12T07:26,2018-02-12T18:00,2018-02-12,GUARDA,40.537,-7.268
2018-02-13,5.000,-1.000,2.100,0.400,21.100,40.000,4.010,7200.000,89,86,2018-02-13T07:25,2018-02-13T18:01,2018-02-13,GUARDA,40.537,-7.268
2018-02-14,5.700,3.700,4.700,0.400,17.400,32.800,1.940,0.000,99,100,2018-02-14T07:23,2018-02-14T18:02,2018-02-14,GUARDA,40.537,-7.268
2018-02-15,7.100,5.300,6.100,0.200,17.600,32.400,2.510,0.000,99,100,2018-02-15T07:22,2018-02-15T18:03,2018-02-15,GUARDA,40.537,-7.268
2018-02-16,9.900,4.700,7.200,0.000,14.900,29.200,7.620,14716.140,91,94,2018-02-16T07:21,2018-02-16T18:04,2018-02-16,GUARDA,40.537,-7.268
2018-02-17,8.900,2.800,5.700,0.000,20.700,38.900,10.060,32029.560,86,68,2018-02-17T07:19,2018-02-17T18:05,2018-02-17,GUARDA,40.537,-7.268
2018-02-18,9.100,-1.200,3.900,0.000,20.400,40.700,14.810,34500.870,70,37,2018-02-18T07:18,2018-02-18T18:07,2018-02-18,GUARDA,40.537,-7.268
2018-02-19,10.400,2.100,5.600,0.000,17.400,34.600,11.710,27041.310,74,85,2018-02-19T07:17,2018-02-19T18:08,2018-02-19,GUARDA,40.537,-7.268
2018-02-20,11.200,1.400,5.800,0.000,19.800,37.100,14.990,35289.980,72,6,2018-02-20T07:15,2018-02-20T18:09,2018-02-20,GUARDA,40.537,-7.268
2018-02-21,9.000,0.600,4.200,0.000,24.700,47.500,15.840,35641.610,68,2,2018-02-21T07:14,2018-02-21T18:10,2018-02-21,GUARDA,40.537,-7.268
2018-02-22,7.400,-4.300,1.200,0.000,18.400,39.200,16.370,36021.430,61,0,2018-02-22T07:12,2018-02-22T18:11,2018-02-22,GUARDA,40.537,-7.268
2018-02-23,7.700,-4.000,1.200,0.000,14.000,29.200,16.500,36228.700,54,0,2018-02-23T07:11,2018-02-23T18:13,2018-02-23,GUARDA,40.537,-7.268
2018-02-24,8.000,-3.100,2.700,0.000,11.300,20.200,16.940,36594.860,49,0,2018-02-24T07:10,2018-02-24T18:14,2018-02-24,GUARDA,40.537,-7.268
2018-02-25,10.300,0.400,4.700,0.000,10.800,23.400,16.880,36759.770,48,0,2018-02-25T07:08,2018-02-25T18:15,2018-02-25,GUARDA,40.537,-7.268
2018-02-26,12.800,0.400,6.400,0.000,15.300,32.400,13.980,32685.210,47,58,2018-02-26T07:07,2018-02-26T18:16,2018-02-26,GUARDA,40.537,-7.268
2018-02-27,7.000,-2.100,1.900,11.400,19.500,35.300,2.140,0.000,82,99,2018-02-27T07:05,2018-02-27T18:17,2018-02-27,GUARDA,40.537,-7.268
2018-02-28,8.200,3.600,6.200,21.700,28.400,67.000,2.950,0.000,98,97,2018-02-28T07:04,2018-02-28T18:18,2018-02-28,GUARDA,40.537,-7.268
2018-03-01,7.000,0.600,4.800,22.100,39.300,72.000,2.940,6781.170,94,84,2018-03-01T07:02,2018-03-01T18:19,2018-03-01,GUARDA,40.537,-7.268
2018-03-02,6.000,-0.200,2.900,9.900,32.800,77.000,4.900,821.920,95,92,2018-03-02T07:01,2018-03-02T18:21,2018-03-02,GUARDA,40.537,-7.268
2018-03-03,5.900,2.400,4.500,20.700,30.100,60.800,5.300,7789.410,95,97,2018-03-03T06:59,2018-03-03T18:22,2018-03-03,GUARDA,40.537,-7.268
2018-03-04,6.600,1.200,3.800,12.200,31.700,63.400,10.760,22317.860,88,83,2018-03-04T06:58,2018-03-04T18:23,2018-03-04,GUARDA,40.537,-7.268
2018-03-05,4.600,1.900,3.000,7.700,28.500,54.000,7.050,10899.520,94,94,2018-03-05T06:56,2018-03-05T18:24,2018-03-05,GUARDA,40.537,-7.268
2018-03-06,6.100,0.400,3.000,3.100,27.700,51.800,13.030,35948.330,86,60,2018-03-06T06:54,2018-03-06T18:25,2018-03-06,GUARDA,40.537,-7.268
2018-03-07,6.300,-1.500,2.800,3.700,24.300,47.200,14.080,28128.290,77,58,2018-03-07T06:53,2018-03-07T18:26,2018-03-07,GUARDA,40.537,-7.268
2018-03-08,6.000,2.100,3.900,1.200,24.300,51.500,4.150,0.000,96,100,2018-03-08T06:51,2018-03-08T18:27,2018-03-08,GUARDA,40.537,-7.268
2018-03-09,9.200,6.500,7.800,30.200,36.500,79.200,3.030,2446.390,98,100,2018-03-09T06:50,2018-03-09T18:28,2018-03-09,GUARDA,40.537,-7.268
2018-03-10,9.200,3.600,6.700,9.500,44.300,81.400,13.270,33082.410,88,82,2018-03-10T06:48,2018-03-10T18:29,2018-03-10,GUARDA,40.537,-7.268
2018-03-11,6.100,2.900,4.100,23.900,29.700,72.400,10.360,23588.400,89,87,2018-03-11T06:47,2018-03-11T18:30,2018-03-11,GUARDA,40.537,-7.268
2018-03-12,8.300,2.900,5.000,3.400,27.300,53.300,10.110,32206.750,80,87,2018-03-12T06:45,2018-03-12T18:32,2018-03-12,GUARDA,40.537,-7.268
2018-03-13,11.800,3.900,7.400,1.200,24.000,61.600,11.980,26055.250,82,88,2018-03-13T06:43,2018-03-13T18:33,2018-03-13,GUARDA,40.537,-7.268
2018-03-14,8.500,4.100,6.300,30.600,51.400,97.200,2.550,7200.000,92,90,2018-03-14T06:42,2018-03-14T18:34,2018-03-14,GUARDA,40.537,-7.268
2018-03-15,6.900,1.200,3.700,7.200,22.900,56.500,11.200,29124.880,88,80,2018-03-15T06:40,2018-03-15T18:35,2018-03-15,GUARDA,40.537,-7.268
2018-03-16,5.800,0.800,2.600,2.500,22.400,48.200,14.220,35045.510,89,78,2018-03-16T06:38,2018-03-16T18:36,2018-03-16,GUARDA,40.537,-7.268
2018-03-17,4.900,-0.700,1.700,20.800,20.800,47.900,11.120,8279.190,87,96,2018-03-17T06:37,2018-03-17T18:37,2018-03-17,GUARDA,40.537,-7.268
2018-03-18,6.900,0.700,3.000,0.400,23.200,48.200,15.690,34522.990,83,60,2018-03-18T06:35,2018-03-18T18:38,2018-03-18,GUARDA,40.537,-7.268
2018-03-19,7.000,-0.400,3.100,6.200,31.700,61.600,11.040,21692.960,80,67,2018-03-19T06:33,2018-03-19T18:39,2018-03-19,GUARDA,40.537,-7.268
2018-03-20,6.800,-1.200,2.000,0.100,28.400,62.600,17.030,39841.320,69,32,2018-03-20T06:32,2018-03-20T18:40,2018-03-20,GUARDA,40.537,-7.268
2018-03-21,8.400,-3.800,2.200,0.000,24.100,47.500,21.580,39925.320,63,0,2018-03-21T06:30,2018-03-21T18:41,2018-03-21,GUARDA,40.537,-7.268
2018-03-22,8.700,-3.800,2.500,0.000,15.800,30.200,21.970,39600.000,68,27,2018-03-22T06:28,2018-03-22T18:42,2018-03-22,GUARDA,40.537,-7.268
2018-03-23,9.000,1.400,5.200,5.300,33.500,67.700,5.800,10497.840,90,90,2018-03-23T06:27,2018-03-23T18:43,2018-03-23,GUARDA,40.537,-7.268
2018-03-24,6.200,-0.200,2.500,0.600,39.200,74.200,17.060,37839.240,81,60,2018-03-24T06:25,2018-03-24T18:44,2018-03-24,GUARDA,40.537,-7.268
2018-03-25,7.600,0.500,3.500,3.200,28.000,52.900,14.850,34104.240,76,71,2018-03-25T06:24,2018-03-25T18:45,2018-03-25,GUARDA,40.537,-7.268
2018-03-26,11.600,-1.200,4.500,0.000,21.700,42.100,21.460,39650.600,73,30,2018-03-26T06:22,2018-03-26T18:46,2018-03-26,GUARDA,40.537,-7.268
2018-03-27,14.600,3.700,8.400,0.000,20.400,39.600,21.310,40452.970,75,25,2018-03-27T06:20,2018-03-27T18:47,2018-03-27,GUARDA,40.537,-7.268
2018-03-28,11.000,3.200,7.100,0.000,21.700,42.100,19.090,35209.430,73,64,2018-03-28T06:19,2018-03-28T18:49,2018-03-28,GUARDA,40.537,-7.268
2018-03-29,6.900,0.900,3.600,4.900,23.100,47.900,12.060,21414.180,83,79,2018-03-29T06:17,2018-03-29T18:50,2018-03-29,GUARDA,40.537,-7.268
2018-03-30,5.500,-0.300,2.000,8.400,24.100,70.200,13.890,27147.020,84,65,2018-03-30T06:15,2018-03-30T18:51,2018-03-30,GUARDA,40.537,-7.268
2018-03-31,7.200,-0.100,3.400,1.500,21.000,42.100,12.830,30921.560,79,72,2018-03-31T06:14,2018-03-31T18:52,2018-03-31,GUARDA,40.537,-7.268
