time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunshine_duration,relative_humidity_2m_mean,cloudcover_mean,sunrise,sunset,date,zone,latitude,longitude
2018-01-01,10.700,4.900,8.800,1.700,20.600,64.100,2.300,2981.850,96,93,2018-01-01T07:56,2018-01-01T17:12,2018-01-01,VILA_REAL,41.301,-7.744
2018-01-02,12.300,9.000,10.900,2.600,15.900,51.100,1.220,0.000,99,100,2018-01-02T07:56,2018-01-02T17:13,2018-01-02,VILA_REAL,41.301,-7.744
2018-01-03,13.300,11.900,12.400,2.100,14.100,44.300,1.520,0.000,99,100,2018-01-03T07:56,2018-01-03T17:14,2018-01-03,VILA_REAL,41.301,-7.744
2018-01-04,12.800,9.600,11.300,1.100,20.700,60.100,4.740,21149.310,95,98,2018-01-04T07:56,2018-01-04T17:14,2018-01-04,VILA_REAL,41.301,-7.744
2018-01-05,10.500,3.300,7.700,20.000,15.000,57.200,1.990,0.000,94,99,2018-01-05T07:56,2018-01-05T17:15,2018-01-05,VILA_REAL,41.301,-7.744
2018-01-06,7.500,0.200,3.200,0.000,13.700,37.800,8.390,29818.250,79,52,2018-01-06T07:56,2018-01-06T17:16,2018-01-06,VILA_REAL,41.301,-7.744
2018-01-07,8.700,0.800,4.500,0.400,16.400,44.300,5.460,18348.750,78,83,2018-01-07T07:56,2018-01-07T17:17,2018-01-07,VILA_REAL,41.301,-7.744
2018-01-08,8.200,-0.600,3.700,0.000,9.200,33.800,9.220,29969.000,81,2,2018-01-08T07:56,2018-01-08T17:18,2018-01-08,VILA_REAL,41.301,-7.744
2018-01-09,7.400,1.200,4.900,10.200,7.100,25.200,0.810,0.000,93,100,2018-01-09T07:56,2018-01-09T17:19,2018-01-09,VILA_REAL,41.301,-7.744
2018-01-10,8.700,3.800,6.100,14.300,21.600,67.300,3.930,15959.910,93,86,2018-01-10T07:56,2018-01-10T17:20,2018-01-10,VILA_REAL,41.301,-7.744
2018-01-11,8.200,1.600,5.100,10.200,16.700,54.400,6.740,30226.520,87,55,2018-01-11T07:55,2018-01-11T17:21,2018-01-11,VILA_REAL,41.301,-7.744
2018-01-12,6.600,0.200,3.500,0.000,5.400,16.900,5.960,19237.530,89,83,2018-01-12T07:55,2018-01-12T17:22,2018-01-12,VILA_REAL,41.301,-7.744
2018-01-13,8.400,2.800,5.400,16.200,12.100,38.200,4.470,13345.540,97,95,2018-01-13T07:55,2018-01-13T17:24,2018-01-13,VILA_REAL,41.301,-7.744
2018-01-14,8.200,1.700,4.600,0.000,5.800,22.700,6.440,28285.070,85,68,2018-01-14T07:54,2018-01-14T17:25,2018-01-14,VILA_REAL,41.301,-7.744
2018-01-15,8.600,0.300,4.600,0.000,11.300,33.800,6.780,30195.640,82,70,2018-01-15T07:54,2018-01-15T17:26,2018-01-15,VILA_REAL,41.301,-7.744
2018-01-16,11.600,6.700,9.500,0.800,13.000,43.600,3.020,332.880,98,100,2018-01-16T07:53,2018-01-16T17:27,2018-01-16,VILA_REAL,41.301,-7.744
2018-01-17,12.500,3.400,8.300,0.000,11.600,38.200,9.630,30836.940,85,30,2018-01-17T07:53,2018-01-17T17:28,2018-01-17,VILA_REAL,41.301,-7.744
2018-01-18,13.500,3.900,7.900,0.000,5.900,23.000,9.810,30949.000,78,5,2018-01-18T07:52,2018-01-18T17:29,2018-01-18,VILA_REAL,41.301,-7.744
2018-01-19,13.900,3.100,7.400,0.000,8.900,28.800,9.360,31019.000,85,15,2018-01-19T07:52,2018-01-19T17:31,2018-01-19,VILA_REAL,41.301,-7.744
2018-01-20,11.500,3.400,7.500,0.000,12.600,37.800,5.320,12936.690,87,79,2018-01-20T07:51,2018-01-20T17:32,2018-01-20,VILA_REAL,41.301,-7.744
2018-01-21,12.200,8.700,10.000,0.300,10.800,31.000,3.870,8450.880,96,99,2018-01-21T07:51,2018-01-21T17:33,2018-01-21,VILA_REAL,41.301,-7.744
2018-01-22,12.900,5.700,9.400,0.000,6.400,23.000,6.740,24438.600,93,59,2018-01-22T07:50,2018-01-22T17:34,2018-01-22,VILA_REAL,41.301,-7.744
2018-01-23,10.800,4.600,7.500,0.000,6.600,17.300,6.180,22636.370,92,68,2018-01-23T07:49,2018-01-23T17:35,2018-01-23,VILA_REAL,41.301,-7.744
2018-01-24,8.600,4.100,6.300,0.100,4.800,17.600,5.420,10535.080,95,88,2018-01-24T07:49,2018-01-24T17:36,2018-01-24,VILA_REAL,41.301,-7.744
2018-01-25,8.700,1.800,6.600,20.800,13.500,47.500,5.990,22812.720,95,88,2018-01-25T07:48,2018-01-25T17:38,2018-01-25,VILA_REAL,41.301,-7.744
2018-01-26,8.700,1.800,5.100,0.100,15.700,45.000,8.350,28420.420,85,65,2018-01-26T07:47,2018-01-26T17:39,2018-01-26,VILA_REAL,41.301,-7.744
2018-01-27,10.900,1.900,6.100,0.000,12.900,37.400,8.640,31441.530,82,32,2018-01-27T07:46,2018-01-27T17:40,2018-01-27,VILA_REAL,41.301,-7.744
2018-01-28,12.000,2.800,7.100,0.000,18.200,54.700,11.250,31771.150,71,12,2018-01-28T07:45,2018-01-28T17:41,2018-01-28,VILA_REAL,41.301,-7.744
2018-01-29,13.400,3.300,8.200,0.000,10.000,40.300,11.310,31998.070,75,0,2018-01-29T07:45,2018-01-29T17:43,2018-01-29,VILA_REAL,41.301,-7.744
2018-01-30,13.200,2.900,7.200,0.000,13.300,31.700,11.600,32166.470,76,11,2018-01-30T07:44,2018-01-30T17:44,2018-01-30,VILA_REAL,41.301,-7.744
2018-01-31,13.600,3.600,8.400,0.000,7.400,21.600,11.760,32173.190,71,9,2018-01-31T07:43,2018-01-31T17:45,2018-01-31,VILA_REAL,41.301,-7.744
2018-02-01,9.000,1.700,5.700,0.200,17.900,51.500,9.150,32259.350,80,42,2018-02-01T07:42,2018-02-01T17:46,2018-02-01,VILA_REAL,41.301,-7.744
2018-02-02,7.900,-0.400,3.400,0.000,16.200,48.200,12.110,32727.930,71,15,2018-02-02T07:41,2018-02-02T17:48,2018-02-02,VILA_REAL,41.301,-7.744
2018-02-03,7.200,-0.400,3.700,1.400,11.700,36.700,3.510,9647.060,89,82,2018-02-03T07:40,2018-02-03T17:49,2018-02-03,VILA_REAL,41.301,-7.744
2018-02-04,7.500,1.300,3.900,0.000,15.800,41.000,10.350,31486.190,79,58,2018-02-04T07:38,2018-02-04T17:50,2018-02-04,VILA_REAL,41.301,-7.744
2018-02-05,7.900,0.200,3.300,0.300,18.400,50.400,11.390,33383.940,70,13,2018-02-05T07:37,2018-02-05T17:51,2018-02-05,VILA_REAL,41.301,-7.744
2018-02-06,6.300,-2.800,1.700,0.000,15.100,43.200,10.030,30779.140,69,35,2018-02-06T07:36,2018-02-06T17:53,2018-02-06,VILA_REAL,41.301,-7.744
2018-02-07,6.900,-0.300,2.500,0.300,13.600,38.200,11.420,33693.460,72,16,2018-02-07T07:35,2018-02-07T17:54,2018-02-07,VILA_REAL,41.301,-7.744
2018-02-08,7.300,-2.300,1.600,0.000,11.400,28.400,12.780,33849.430,72,25,2018-02-08T07:34,2018-02-08T17:55,2018-02-08,VILA_REAL,41.301,-7.744
2018-02-09,9.800,2.300,5.500,1.800,15.500,41.800,7.950,23485.730,84,79,2018-02-09T07:33,2018-02-09T17:57,2018-02-09,VILA_REAL,41.301,-7.744
2018-02-10,9.200,-0.400,4.200,0.000,11.300,32.400,9.030,30249.070,82,31,2018-02-10T07:32,2018-02-10T17:58,2018-02-10,VILA_REAL,41.301,-7.744
2018-02-11,11.100,5.200,8.100,2.600,17.800,48.600,2.870,0.000,96,98,2018-02-11T07:30,2018-02-11T17:59,2018-02-11,VILA_REAL,41.301,-7.744
2018-02-12,7.600,0.500,3.800,0.000,10.200,32.400,8.190,20476.830,76,62,2018-02-12T07:29,2018-02-12T18:00,2018-02-12,VILA_REAL,41.301,-7.744
2018-02-13,8.200,2.800,6.000,8.900,20.800,63.400,2.020,0.000,95,100,2018-02-13T07:28,2018-02-13T18:01,2018-02-13,VILA_REAL,41.301,-7.744
2018-02-14,10.700,7.300,9.300,13.200,18.200,52.900,1.790,0.000,99,100,2018-02-14T07:27,2018-02-14T18:03,2018-02-14,VILA_REAL,41.301,-7.744
2018-02-15,12.100,9.700,10.800,4.300,8.700,27.700,2.220,0.000,98,100,2018-02-15T07:25,2018-02-15T18:04,2018-02-15,VILA_REAL,41.301,-7.744
2018-02-16,12.900,8.100,10.400,0.400,8.800,24.100,4.210,7505.570,93,99,2018-02-16T07:24,2018-02-16T18:05,2018-02-16,VILA_REAL,41.301,-7.744
2018-02-17,13.100,6.100,9.100,0.000,11.400,35.600,14.190,34754.470,76,27,2018-02-17T07:23,2018-02-17T18:06,2018-02-17,VILA_REAL,41.301,-7.744
2018-02-18,12.300,2.700,7.200,0.000,12.600,38.200,13.550,33399.790,71,58,2018-02-18T07:21,2018-02-18T18:08,2018-02-18,VILA_REAL,41.301,-7.744
2018-02-19,13.500,5.400,9.200,0.000,11.600,33.100,9.750,25759.220,76,82,2018-02-19T07:20,2018-02-19T18:09,2018-02-19,VILA_REAL,41.301,-7.744
2018-02-20,14.200,3.800,8.700,0.000,11.600,37.400,14.480,35087.160,75,7,2018-02-20T07:18,2018-02-20T18:10,2018-02-20,VILA_REAL,41.301,-7.744
2018-02-21,12.400,2.600,7.200,0.000,18.500,51.500,15.280,35392.800,69,2,2018-02-21T07:17,2018-02-21T18:11,2018-02-21,VILA_REAL,41.301,-7.744
2018-02-22,10.500,-0.200,4.700,0.000,11.300,38.900,15.680,35731.480,67,0,2018-02-22T07:15,2018-02-22T18:12,2018-02-22,VILA_REAL,41.301,-7.744
2018-02-23,9.100,-0.500,3.500,0.000,13.700,38.500,16.010,35923.690,61,0,2018-02-23T07:14,2018-02-23T18:14,2018-02-23,VILA_REAL,41.301,-7.744
2018-02-24,10.500,-0.800,4.200,0.000,8.800,20.500,16.450,36217.110,61,0,2018-02-24T07:12,2018-02-24T18:15,2018-02-24,VILA_REAL,41.301,-7.744
2018-02-25,11.900,-0.200,6.100,0.000,9.400,27.400,16.510,36428.030,54,0,2018-02-25T07:11,2018-02-25T18:16,2018-02-25,VILA_REAL,41.301,-7.744
2018-02-26,14.100,1.000,7.600,0.000,14.800,43.600,13.640,31290.390,55,71,2018-02-26T07:09,2018-02-26T18:17,2018-02-26,VILA_REAL,41.301,-7.744
2018-02-27,8.300,0.600,2.200,18.400,11.300,38.200,2.540,1399.480,74,94,2018-02-27T07:08,2018-02-27T18:18,2018-02-27,VILA_REAL,41.301,-7.744
2018-02-28,6.900,1.500,4.200,35.700,12.200,55.400,3.080,0.000,98,100,2018-02-28T07:06,2018-02-28T18:20,2018-02-28,VILA_REAL,41.301,-7.744
2018-03-01,9.600,2.300,6.700,35.500,28.100,89.300,2.950,4390.610,95,95,2018-03-01T07:05,2018-03-01T18:21,2018-03-01,VILA_REAL,41.301,-7.744
2018-03-02,8.300,0.900,4.800,18.200,21.600,88.200,3.260,0.000,96,90,2018-03-02T07:03,2018-03-02T18:22,2018-03-02,VILA_REAL,41.301,-7.744
2018-03-03,9.000,5.000,7.100,32.900,14.000,64.800,3.020,0.000,95,99,2018-03-03T07:02,2018-03-03T18:23,2018-03-03,VILA_REAL,41.301,-7.744
2018-03-04,10.300,3.200,6.600,8.500,17.000,58.000,9.420,19500.000,90,96,2018-03-04T07:00,2018-03-04T18:24,2018-03-04,VILA_REAL,41.301,-7.744
