zone,season,month,day_of_year,sunshine_hours,cloudcover_mean,relative_humidity_2m_mean,shortwave_radiation_sum,ok_day_label
GUARDA,Winter,1,1,0.5016777777777778,72,91,2.69,Not OK
VILA_REAL,Winter,1,1,0.8282916666666666,93,96,2.3,Not OK
GUARDA,Winter,1,2,0.5346805555555555,94,93,2.59,Not OK
VILA_REAL,Winter,1,2,0.0,100,99,1.22,Not OK
GUARDA,Winter,1,3,0.1455138888888889,99,96,2.41,Not OK
VILA_REAL,Winter,1,3,0.0,100,99,1.52,Not OK
GUARDA,Winter,1,4,3.7695333333333334,91,94,3.55,Not OK
VILA_REAL,Winter,1,4,5.874808333333334,98,95,4.74,Not OK
GUARDA,Winter,1,5,0.0,99,94,1.14,Not OK
VILA_REAL,Winter,1,5,0.0,99,94,1.99,Not OK
GUARDA,Winter,1,6,8.136330555555556,78,77,8.8,Not OK
VILA_REAL,Winter,1,6,8.282847222222221,52,79,8.39,Not OK
GUARDA,Winter,1,7,3.0,99,83,4.46,Not OK
VILA_REAL,Winter,1,7,5.096875,83,78,5.46,Not OK
GUARDA,Winter,1,8,8.418033333333334,21,84,9.66,Not OK
VILA_REAL,Winter,1,8,8.324722222222222,2,81,9.22,Not OK
GUARDA,Winter,1,9,0.0,96,95,1.02,Not OK
VILA_REAL,Winter,1,9,0.0,100,93,0.81,Not OK
GUARDA,Winter,1,10,3.824233333333334,72,94,3.95,Not OK
VILA_REAL,Winter,1,10,4.433308333333334,86,93,3.93,Not OK
GUARDA,Winter,1,11,7.2667,61,86,6.37,Not OK
VILA_REAL,Winter,1,11,8.396255555555555,55,87,6.74,Not OK
GUARDA,Winter,1,12,5.986013888888889,79,87,6.45,Not OK
VILA_REAL,Winter,1,12,5.343758333333333,83,89,5.96,Not OK
GUARDA,Winter,1,13,3.069597222222222,82,92,3.65,Not OK
VILA_REAL,Winter,1,13,3.707094444444445,95,97,4.47,Not OK
GUARDA,Winter,1,14,5.056161111111111,74,86,5.52,Not OK
VILA_REAL,Winter,1,14,7.856963888888889,68,85,6.44,Not OK
GUARDA,Winter,1,15,8.593330555555555,54,76,8.76,Not OK
VILA_REAL,Winter,1,15,8.387677777777778,70,82,6.78,Not OK
GUARDA,Winter,1,16,6.3618805555555555,93,96,5.36,Not OK
VILA_REAL,Winter,1,16,0.0924666666666666,100,98,3.02,Not OK
GUARDA,Winter,1,17,7.979208333333334,38,85,10.11,Not OK
VILA_REAL,Winter,1,17,8.565816666666667,30,85,9.63,Not OK
GUARDA,Winter,1,18,8.681558333333333,11,75,10.47,Not OK
VILA_REAL,Winter,1,18,8.596944444444444,5,78,9.81,Not OK
GUARDA,Winter,1,19,8.277244444444445,31,87,10.02,Not OK
VILA_REAL,Winter,1,19,8.616388888888888,15,85,9.36,Not OK
GUARDA,Winter,1,20,8.702341666666667,73,79,9.55,Not OK
VILA_REAL,Winter,1,20,3.593525,79,87,5.32,Not OK
GUARDA,Winter,1,21,6.530775,96,96,5.79,Not OK
VILA_REAL,Winter,1,21,2.3474666666666666,99,96,3.87,Not OK
GUARDA,Winter,1,22,7.1132027777777775,56,93,7.64,Not OK
VILA_REAL,Winter,1,22,6.7885,59,93,6.74,Not OK
GUARDA,Winter,1,23,8.685947222222222,52,91,9.63,Not OK
VILA_REAL,Winter,1,23,6.287880555555556,68,92,6.18,Not OK
GUARDA,Winter,1,24,8.297355555555555,61,81,10.47,Not OK
VILA_REAL,Winter,1,24,2.9264111111111113,88,95,5.42,Not OK
GUARDA,Winter,1,25,2.62425,82,95,4.23,Not OK
VILA_REAL,Winter,1,25,6.336866666666667,88,95,5.99,Not OK
GUARDA,Winter,1,26,8.545536111111112,49,83,9.26,Not OK
VILA_REAL,Winter,1,26,7.894561111111111,65,85,8.35,Not OK
