date,year,month,month_name,day_of_year,season,zone,latitude,longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunshine_hours,relative_humidity_2m_mean,cloudcover_mean,rain_day,hot_day,freezing_day,warm_night,ok_day,ok_day_label
2018-01-01,2018,1,January,1,Winter,GUARDA,40.537,-7.268,7.5,1.0,4.4,0.0,19.4,43.2,2.69,0.5016777777777778,91,72,0,0,0,0,0,Not OK
2018-01-01,2018,1,January,1,Winter,VILA_REAL,41.301,-7.744,10.7,4.9,8.8,1.7,20.6,64.1,2.3,0.8282916666666666,96,93,1,0,0,0,0,Not OK
2018-01-02,2018,1,January,2,Winter,GUARDA,40.537,-7.268,9.1,3.8,7.2,0.0,19.1,38.9,2.59,0.5346805555555555,93,94,0,0,0,0,0,Not OK
2018-01-02,2018,1,January,2,Winter,VILA_REAL,41.301,-7.744,12.3,9.0,10.9,2.6,15.9,51.1,1.22,0.0,99,100,1,0,0,0,0,Not OK
2018-01-03,2018,1,January,3,Winter,GUARDA,40.537,-7.268,10.8,8.4,9.1,0.4,19.6,36.4,2.41,0.1455138888888889,96,99,0,0,0,0,0,Not OK
2018-01-03,2018,1,January,3,Winter,VILA_REAL,41.301,-7.744,13.3,11.9,12.4,2.1,14.1,44.3,1.52,0.0,99,100,1,0,0,0,0,Not OK
2018-01-04,2018,1,January,4,Winter,GUARDA,40.537,-7.268,9.7,5.6,8.0,0.2,12.8,27.0,3.55,3.7695333333333334,94,91,0,0,0,0,0,Not OK
2018-01-04,2018,1,January,4,Winter,VILA_REAL,41.301,-7.744,12.8,9.6,11.3,1.1,20.7,60.1,4.74,5.874808333333334,95,98,1,0,0,0,0,Not OK
2018-01-05,2018,1,January,5,Winter,GUARDA,40.537,-7.268,6.2,1.2,4.6,15.4,28.7,51.5,1.14,0.0,94,99,1,0,0,0,0,Not OK
2018-01-05,2018,1,January,5,Winter,VILA_REAL,41.301,-7.744,10.5,3.3,7.7,20.0,15.0,57.2,1.99,0.0,94,99,1,0,0,0,0,Not OK
2018-01-06,2018,1,January,6,Winter,GUARDA,40.537,-7.268,3.4,-1.1,0.8,0.0,23.2,44.6,8.8,8.136330555555556,77,78,0,0,1,0,0,Not OK
2018-01-06,2018,1,January,6,Winter,VILA_REAL,41.301,-7.744,7.5,0.2,3.2,0.0,13.7,37.8,8.39,8.282847222222221,79,52,0,0,0,0,0,Not OK
2018-01-07,2018,1,January,7,Winter,GUARDA,40.537,-7.268,2.9,-1.6,0.5,4.5,22.2,42.1,4.46,3.0,83,99,1,0,1,0,0,Not OK
2018-01-07,2018,1,January,7,Winter,VILA_REAL,41.301,-7.744,8.7,0.8,4.5,0.4,16.4,44.3,5.46,5.096875,78,83,0,0,0,0,0,Not OK
2018-01-08,2018,1,January,8,Winter,GUARDA,40.537,-7.268,4.3,-4.9,0.0,0.0,15.6,33.1,9.66,8.418033333333334,84,21,0,0,1,0,0,Not OK
2018-01-08,2018,1,January,8,Winter,VILA_REAL,41.301,-7.744,8.2,-0.6,3.7,0.0,9.2,33.8,9.22,8.324722222222222,81,2,0,0,1,0,0,Not OK
2018-01-09,2018,1,January,9,Winter,GUARDA,40.537,-7.268,2.4,-1.0,0.6,8.4,31.6,61.2,1.02,0.0,95,96,1,0,1,0,0,Not OK
2018-01-09,2018,1,January,9,Winter,VILA_REAL,41.301,-7.744,7.4,1.2,4.9,10.2,7.1,25.2,0.81,0.0,93,100,1,0,0,0,0,Not OK
2018-01-10,2018,1,January,10,Winter,GUARDA,40.537,-7.268,5.5,1.7,2.8,4.4,24.3,63.4,3.95,3.8242333333333334,94,72,1,0,0,0,0,Not OK
2018-01-10,2018,1,January,10,Winter,VILA_REAL,41.301,-7.744,8.7,3.8,6.1,14.3,21.6,67.3,3.93,4.433308333333334,93,86,1,0,0,0,0,Not OK
2018-01-11,2018,1,January,11,Winter,GUARDA,40.537,-7.268,5.0,0.2,2.6,1.5,26.0,52.2,6.37,7.2667,86,61,1,0,0,0,0,Not OK
2018-01-11,2018,1,January,11,Winter,VILA_REAL,41.301,-7.744,8.2,1.6,5.1,10.2,16.7,54.4,6.74,8.396255555555555,87,55,1,0,0,0,0,Not OK
2018-01-12,2018,1,January,12,Winter,GUARDA,40.537,-7.268,4.5,-2.7,1.0,0.0,15.9,31.0,6.45,5.986013888888889,87,79,0,0,1,0,0,Not OK
2018-01-12,2018,1,January,12,Winter,VILA_REAL,41.301,-7.744,6.6,0.2,3.5,0.0,5.4,16.9,5.96,5.343758333333333,89,83,0,0,0,0,0,Not OK
2018-01-13,2018,1,January,13,Winter,GUARDA,40.537,-7.268,5.0,0.0,1.8,8.0,19.5,37.8,3.65,3.069597222222222,92,82,1,0,0,0,0,Not OK
2018-01-13,2018,1,January,13,Winter,VILA_REAL,41.301,-7.744,8.4,2.8,5.4,16.2,12.1,38.2,4.47,3.7070944444444445,97,95,1,0,0,0,0,Not OK
2018-01-14,2018,1,January,14,Winter,GUARDA,40.537,-7.268,3.8,-1.4,1.0,0.0,12.5,25.6,5.52,5.056161111111111,86,74,0,0,1,0,0,Not OK
2018-01-14,2018,1,January,14,Winter,VILA_REAL,41.301,-7.744,8.2,1.7,4.6,0.0,5.8,22.7,6.44,7.856963888888889,85,68,0,0,0,0,0,Not OK
2018-01-15,2018,1,January,15,Winter,GUARDA,40.537,-7.268,5.4,-2.6,1.5,0.0,11.1,23.8,8.76,8.593330555555555,76,54,0,0,1,0,0,Not OK
2018-01-15,2018,1,January,15,Winter,VILA_REAL,41.301,-7.744,8.6,0.3,4.6,0.0,11.3,33.8,6.78,8.387677777777778,82,70,0,0,0,0,0,Not OK
2018-01-16,2018,1,January,16,Winter,GUARDA,40.537,-7.268,9.2,2.4,6.6,0.1,19.6,37.8,5.36,6.3618805555555555,96,93,0,0,0,0,0,Not OK
2018-01-16,2018,1,January,16,Winter,VILA_REAL,41.301,-7.744,11.6,6.7,9.5,0.8,13.0,43.6,3.02,0.09246666666666667,98,100,0,0,0,0,0,Not OK
2018-01-17,2018,1,January,17,Winter,GUARDA,40.537,-7.268,8.7,2.2,5.5,0.0,24.6,47.2,10.11,7.979208333333334,85,38,0,0,0,0,0,Not OK
2018-01-17,2018,1,January,17,Winter,VILA_REAL,41.301,-7.744,12.5,3.4,8.3,0.0,11.6,38.2,9.63,8.565816666666667,85,30,0,0,0,0,0,Not OK
2018-01-18,2018,1,January,18,Winter,GUARDA,40.537,-7.268,11.2,-0.1,4.9,0.0,12.5,22.0,10.47,8.681558333333333,75,11,0,0,1,0,0,Not OK
2018-01-18,2018,1,January,18,Winter,VILA_REAL,41.301,-7.744,13.5,3.9,7.9,0.0,5.9,23.0,9.81,8.596944444444444,78,5,0,0,0,0,0,Not OK
2018-01-19,2018,1,January,19,Winter,GUARDA,40.537,-7.268,9.8,1.5,4.6,0.0,20.2,44.6,10.02,8.277244444444445,87,31,0,0,0,0,0,Not OK
2018-01-19,2018,1,January,19,Winter,VILA_REAL,41.301,-7.744,13.9,3.1,7.4,0.0,8.9,28.8,9.36,8.616388888888888,85,15,0,0,0,0,0,Not OK
2018-01-20,2018,1,January,20,Winter,GUARDA,40.537,-7.268,8.1,3.0,5.6,0.0,18.1,34.6,9.55,8.702341666666667,79,73,0,0,0,0,0,Not OK
2018-01-20,2018,1,January,20,Winter,VILA_REAL,41.301,-7.744,11.5,3.4,7.5,0.0,12.6,37.8,5.32,3.593525,87,79,0,0,0,0,0,Not OK
2018-01-21,2018,1,January,21,Winter,GUARDA,40.537,-7.268,7.9,5.5,6.5,0.0,16.7,32.0,5.79,6.530775,96,96,0,0,0,0,0,Not OK
2018-01-21,2018,1,January,21,Winter,VILA_REAL,41.301,-7.744,12.2,8.7,10.0,0.3,10.8,31.0,3.87,2.3474666666666666,96,99,0,0,0,0,0,Not OK
2018-01-22,2018,1,January,22,Winter,GUARDA,40.537,-7.268,8.7,3.6,5.3,0.0,15.2,30.2,7.64,7.1132027777777775,93,56,0,0,0,0,0,Not OK
2018-01-22,2018,1,January,22,Winter,VILA_REAL,41.301,-7.744,12.9,5.7,9.4,0.0,6.4,23.0,6.74,6.7885,93,59,0,0,0,0,0,Not OK
2018-01-23,2018,1,January,23,Winter,GUARDA,40.537,-7.268,8.6,-0.2,3.7,0.0,12.8,22.0,9.63,8.685947222222222,91,52,0,0,1,0,0,Not OK
2018-01-23,2018,1,January,23,Winter,VILA_REAL,41.301,-7.744,10.8,4.6,7.5,0.0,6.6,17.3,6.18,6.287880555555556,92,68,0,0,0,0,0,Not OK
2018-01-24,2018,1,January,24,Winter,GUARDA,40.537,-7.268,9.7,-0.0,4.8,0.0,10.1,17.3,10.47,8.297355555555555,81,61,0,0,0,0,0,Not OK
2018-01-24,2018,1,January,24,Winter,VILA_REAL,41.301,-7.744,8.6,4.1,6.3,0.1,4.8,17.6,5.42,2.9264111111111113,95,88,0,0,0,0,0,Not OK
2018-01-25,2018,1,January,25,Winter,GUARDA,40.537,-7.268,5.6,0.1,3.1,10.6,24.4,49.7,4.23,2.62425,95,82,1,0,0,0,0,Not OK
2018-01-25,2018,1,January,25,Winter,VILA_REAL,41.301,-7.744,8.7,1.8,6.6,20.8,13.5,47.5,5.99,6.336866666666667,95,88,1,0,0,0,0,Not OK
2018-01-26,2018,1,January,26,Winter,GUARDA,40.537,-7.268,5.6,-0.2,1.9,0.0,26.8,51.5,9.26,8.545536111111112,83,49,0,0,1,0,0,Not OK
2018-01-26,2018,1,January,26,Winter,VILA_REAL,41.301,-7.744,8.7,1.8,5.1,0.1,15.7,45.0,8.35,7.894561111111111,85,65,0,0,0,0,0,Not OK
2018-01-27,2018,1,January,27,Winter,GUARDA,40.537,-7.268,5.6,-0.7,2.1,0.0,25.3,49.0,9.16,8.283816666666667,80,33,0,0,1,0,0,Not OK
2018-01-27,2018,1,January,27,Winter,VILA_REAL,41.301,-7.744,10.9,1.9,6.1,0.0,12.9,37.4,8.64,8.733758333333332,82,32,0,0,0,0,0,Not OK
2018-01-28,2018,1,January,28,Winter,GUARDA,40.537,-7.268,8.7,-2.5,2.4,0.0,21.9,42.1,11.61,8.876627777777777,75,4,0,0,1,0,0,Not OK
2018-01-28,2018,1,January,28,Winter,VILA_REAL,41.301,-7.744,12.0,2.8,7.1,0.0,18.2,54.7,11.25,8.825319444444444,71,12,0,0,0,0,0,Not OK
2018-01-29,2018,1,January,29,Winter,GUARDA,40.537,-7.268,10.6,-0.4,4.1,0.0,13.8,27.7,11.79,8.958352777777778,81,0,0,0,1,0,0,Not OK
2018-01-29,2018,1,January,29,Winter,VILA_REAL,41.301,-7.744,13.4,3.3,8.2,0.0,10.0,40.3,11.31,8.888352777777778,75,0,0,0,0,0,0,Not OK
2018-01-30,2018,1,January,30,Winter,GUARDA,40.537,-7.268,9.6,-0.9,3.3,0.0,11.2,22.3,12.18,9.004188888888889,82,0,0,0,1,0,0,Not OK
2018-01-30,2018,1,January,30,Winter,VILA_REAL,41.301,-7.744,13.2,2.9,7.2,0.0,13.3,31.7,11.6,8.935130555555556,76,11,0,0,0,0,0,Not OK
2018-01-31,2018,1,January,31,Winter,GUARDA,40.537,-7.268,10.9,-1.5,5.0,0.0,10.0,19.8,12.4,9.076497222222223,68,8,0,0,1,0,0,Not OK
2018-01-31,2018,1,January,31,Winter,VILA_REAL,41.301,-7.744,13.6,3.6,8.4,0.0,7.4,21.6,11.76,8.936997222222223,71,9,0,0,0,0,0,Not OK
2018-02-01,2018,2,February,32,Winter,GUARDA,40.537,-7.268,5.8,-0.9,2.6,0.1,29.1,56.2,8.31,7.556344444444444,79,51,0,0,1,0,0,Not OK
2018-02-01,2018,2,February,32,Winter,VILA_REAL,41.301,-7.744,9.0,1.7,5.7,0.2,17.9,51.5,9.15,8.960930555555555,80,42,0,0,0,0,0,Not OK
2018-02-02,2018,2,February,33,Winter,GUARDA,40.537,-7.268,4.4,-2.6,0.2,0.0,20.9,41.4,11.92,9.024247222222222,70,11,0,0,1,0,0,Not OK
2018-02-02,2018,2,February,33,Winter,VILA_REAL,41.301,-7.744,7.9,-0.4,3.4,0.0,16.2,48.2,12.11,9.091091666666667,71,15,0,0,1,0,0,Not OK
2018-02-03,2018,2,February,34,Winter,GUARDA,40.537,-7.268,4.7,-3.1,0.7,0.6,21.4,37.8,7.24,5.911566666666666,85,64,0,0,1,0,0,Not OK
2018-02-03,2018,2,February,34,Winter,VILA_REAL,41.301,-7.744,7.2,-0.4,3.7,1.4,11.7,36.7,3.51,2.6797388888888887,89,82,1,0,1,0,0,Not OK
2018-02-04,2018,2,February,35,Winter,GUARDA,40.537,-7.268,3.4,-2.3,0.5,0.0,23.9,46.8,8.93,8.452577777777778,79,53,0,0,1,0,0,Not OK
2018-02-04,2018,2,February,35,Winter,VILA_REAL,41.301,-7.744,7.5,1.3,3.9,0.0,15.8,41.0,10.35,8.746163888888889,79,58,0,0,0,0,0,Not OK
2018-02-05,2018,2,February,36,Winter,GUARDA,40.537,-7.268,3.9,-3.1,-0.7,0.3,26.5,56.9,11.22,9.268577777777777,78,21,0,0,1,0,0,Not OK
2018-02-05,2018,2,February,36,Winter,VILA_REAL,41.301,-7.744,7.9,0.2,3.3,0.3,18.4,50.4,11.39,9.273316666666668,70,13,0,0,0,0,0,Not OK
2018-02-06,2018,2,February,37,Winter,GUARDA,40.537,-7.268,2.3,-5.2,-1.9,0.0,23.6,45.4,12.03,8.826052777777779,72,42,0,0,1,0,0,Not OK
2018-02-06,2018,2,February,37,Winter,VILA_REAL,41.301,-7.744,6.3,-2.8,1.7,0.0,15.1,43.2,10.03,8.549761111111112,69,35,0,0,1,0,0,Not OK
2018-02-07,2018,2,February,38,Winter,GUARDA,40.537,-7.268,2.7,-4.7,-1.7,0.0,22.2,42.8,9.34,6.360275000000001,74,30,0,0,1,0,0,Not OK
